"year","phase","oni_mean"
"1975","La Nina","-1.058"
"1976","Neutral","-0.050"
"1977","El Nino","0.500"
"1978","Neutral","-0.100"
"1979","Neutral","0.242"
"1980","Neutral","0.258"
"1981","Neutral","-0.283"
"1982","El Nino","1.008"
"1983","Neutral","0.475"
"1984","Neutral","-0.492"
"1985","La Nina","-0.600"
"1986","Neutral","0.242"
"1987","El Nino","1.275"
"1988","La Nina","-0.817"
"1989","La Nina","-0.608"
"1990","Neutral","0.308"
"1991","El Nino","0.642"
"1992","El Nino","0.642"
"1993","Neutral","0.325"
"1994","Neutral","0.475"
"1995","Neutral","-0.158"
"1996","Neutral","-0.467"
"1997","El Nino","1.167"
"1998","Neutral","-0.067"
"1999","La Nina","-1.233"
"2000","La Nina","-0.825"
"2001","Neutral","-0.300"
"2002","El Nino","0.633"
"2003","Neutral","0.258"
"2004","Neutral","0.458"
"2005","Neutral","0.033"
"2006","Neutral","0.058"
"2007","La Nina","-0.608"
"2008","La Nina","-0.775"
"2009","Neutral","0.300"
"2010","Neutral","-0.467"
"2011","La Nina","-0.775"
"2012","Neutral","-0.075"
"2013","Neutral","-0.242"
"2014","Neutral","0.208"
"2015","El Nino","1.558"
"2016","Neutral","0.417"
"2017","Neutral","-0.117"
"2018","Neutral","0.092"
"2019","El Nino","0.575"
"2020","Neutral","-0.275"
"2021","La Nina","-0.625"
"2022","La Nina","-0.858"
"2023","El Nino","0.908"
"2024","Neutral","0.433"
"2025","Neutral","-0.258"
